timestep;aFRR_neg_energy_EUR_MWh
570600;-1031.09
571500;-787.62
572400;-773.24
573300;-773.19
574200;-772.13
575100;-773.24
576000;-818.74
576900;-774.37
577800;-728.42
578700;-715.73
579600;-714.27
580500;-716.58
581400;-715.14
582300;-713.9
583200;-682.35
584100;-682.39
585000;-681.49
585900;-680.78
586800;-663.52
587700;-657.56
588600;-653.71
589500;-646.62
590400;-736.01
591300;-748.09
592200;-748.14
593100;-746.13
594000;-743.48
594900;-743.09
595800;-742.96
596700;-741.68
597600;-740.02
598500;-740
599400;-739.6
600300;-737.05
601200;-739.46
602100;-745.35
603000;-747.41
603900;-744.46
604800;-878.1
605700;-900.23
606600;-896.86
607500;-914.12
608400;-905.47
609300;-900.64
610200;-898.85
611100;-953.26
612000;-916.75
612900;-901.72
613800;-955.53
614700;-965.71
615600;-956.41
616500;-968.76
617400;-971.44
618300;-971.36
619200;-887.17
620100;-888.77
621000;-889.41
621900;-856.12
622800;-879.56
623700;-890.06
624600;-856.95
625500;-847.05
626400;-981.3
627300;-956.29
628200;-985.86
629100;-952.48
630000;-953.33
630900;-954.8
631800;-954.53
632700;-955.07
633600;-872.26
634500;-840.62
635400;-832.61
636300;-831.9
637200;-831.59
638100;-830.73
639000;-823.45
639900;-817.25
640800;-818.83
641700;-818.6
642600;-818.59
643500;-837.69
644400;-819.49
645300;-811.56
646200;-862.02
647100;-877.83
648000;-877.54
648900;-913.07
649800;-934.22
650700;-934.33
651600;-879.29
652500;-912.63
653400;-933.39
654300;-934.15
655200;-879.53
656100;-913.22
657000;-830.08
657900;-808.75
658800;-1318.13
659700;-891.44
660600;-815.86
661500;-816.27
662400;-943.33
663300;-944.39
664200;-912.68
665100;-911.16
666000;-913.11
666900;-914.05
667800;-913
668700;-912.7
669600;-912.76
670500;-913.82
671400;-913.41
672300;-912.96
673200;-797.72
674100;-797.35
675000;-797.3
675900;-797
676800;-730.75
677700;-732.44
678600;-739.87
679500;-737.73
680400;-735.5
681300;-736.14
682200;-729.41
683100;-731.06
684000;-733.52
684900;-749.32
685800;-754.3
686700;-754.23
687600;-794.47
688500;-801.28
689400;-858.54
690300;-881.95
691200;-888.33
692100;-860.24
693000;-848.13
693900;-899.38
694800;-877.62
695700;-906.25
696600;-934.88
697500;-947.23
698400;-953.53
699300;-955.41
700200;-956.23
701100;-958.02
702000;-954.04
702900;-954.37
703800;-954.55
704700;-953.32
705600;-885.6
706500;-891.43
707400;-890.74
708300;-845.96
709200;-878.99
710100;-890.86
711000;-841.89
711900;-829.39
712800;-916.2
713700;-926.2
714600;-926.82
715500;-928.15
716400;-878.4
717300;-843.16
718200;-833.3
719100;-832.5
720000;-819.14
720900;-814.12
721800;-802.72
722700;-801.1
723600;-800.85
724500;-799.92
