timestep;aFRR_neg_cap_EUR_MW_h
550800;4.78
551700;4.78
552600;4.78
553500;4.78
554400;4.78
555300;4.78
556200;4.78
557100;4.78
558000;4.78
558900;4.78
559800;4.78
560700;4.78
561600;5.11
562500;5.11
563400;5.11
564300;5.11
565200;5.11
566100;5.11
567000;5.11
567900;5.11
568800;5.11
569700;5.11
570600;5.11
571500;5.11
572400;5.11
573300;5.11
574200;5.11
575100;5.11
576000;2.56
576900;2.56
577800;2.56
578700;2.56
579600;2.56
580500;2.56
581400;2.56
582300;2.56
583200;2.56
584100;2.56
585000;2.56
585900;2.56
586800;2.56
587700;2.56
588600;2.56
589500;2.56
590400;3.79
591300;3.79
592200;3.79
593100;3.79
594000;3.79
594900;3.79
595800;3.79
596700;3.79
597600;3.79
598500;3.79
599400;3.79
600300;3.79
601200;3.79
602100;3.79
603000;3.79
603900;3.79
604800;10.71
605700;10.71
606600;10.71
607500;10.71
608400;10.71
609300;10.71
610200;10.71
611100;10.71
612000;10.71
612900;10.71
613800;10.71
614700;10.71
615600;10.71
616500;10.71
617400;10.71
618300;10.71
619200;10.26
620100;10.26
621000;10.26
621900;10.26
622800;10.26
623700;10.26
624600;10.26
625500;10.26
626400;10.26
627300;10.26
628200;10.26
629100;10.26
630000;10.26
630900;10.26
631800;10.26
632700;10.26
633600;4.19
634500;4.19
635400;4.19
636300;4.19
637200;4.19
638100;4.19
639000;4.19
639900;4.19
640800;4.19
641700;4.19
642600;4.19
643500;4.19
644400;4.19
645300;4.19
646200;4.19
647100;4.19
648000;4.41
648900;4.41
649800;4.41
650700;4.41
651600;4.41
652500;4.41
653400;4.41
654300;4.41
655200;4.41
656100;4.41
657000;4.41
657900;4.41
658800;4.41
659700;4.41
660600;4.41
661500;4.41
662400;2.17
663300;2.17
664200;2.17
665100;2.17
666000;2.17
666900;2.17
667800;2.17
668700;2.17
669600;2.17
670500;2.17
671400;2.17
672300;2.17
673200;2.17
674100;2.17
675000;2.17
675900;2.17
676800;3.34
677700;3.34
678600;3.34
679500;3.34
680400;3.34
681300;3.34
682200;3.34
683100;3.34
684000;3.34
684900;3.34
685800;3.34
686700;3.34
687600;3.34
688500;3.34
689400;3.34
690300;3.34
691200;8.99
692100;8.99
693000;8.99
693900;8.99
694800;8.99
695700;8.99
696600;8.99
697500;8.99
698400;8.99
699300;8.99
700200;8.99
701100;8.99
702000;8.99
702900;8.99
703800;8.99
704700;8.99
705600;8.31
706500;8.31
707400;8.31
708300;8.31
709200;8.31
710100;8.31
711000;8.31
711900;8.31
712800;8.31
713700;8.31
714600;8.31
715500;8.31
716400;8.31
717300;8.31
718200;8.31
719100;8.31
720000;3.51
720900;3.51
721800;3.51
722700;3.51
723600;3.51
724500;3.51
725400;3.51
726300;3.51
727200;3.51
728100;3.51
729000;3.51
729900;3.51
730800;3.51
731700;3.51
732600;3.51
733500;3.51
734400;3.62
735300;3.62
736200;3.62
737100;3.62
738000;3.62
738900;3.62
739800;3.62
740700;3.62
741600;3.62
742500;3.62
743400;3.62
744300;3.62
745200;3.62
746100;3.62
747000;3.62
747900;3.62
748800;1.88
749700;1.88
750600;1.88
751500;1.88
752400;1.88
753300;1.88
754200;1.88
755100;1.88
756000;1.88
756900;1.88
757800;1.88
758700;1.88
759600;1.88
760500;1.88
761400;1.88
762300;1.88
763200;2.8
764100;2.8
765000;2.8
765900;2.8
766800;2.8
767700;2.8
768600;2.8
769500;2.8
770400;2.8
771300;2.8
772200;2.8
773100;2.8
774000;2.8
774900;2.8
775800;2.8
776700;2.8
777600;7.23
778500;7.23
779400;7.23
780300;7.23
781200;7.23
782100;7.23
783000;7.23
783900;7.23
784800;7.23
785700;7.23
786600;7.23
787500;7.23
788400;7.23
789300;7.23
790200;7.23
791100;7.23
792000;6.69
792900;6.69
793800;6.69
794700;6.69
795600;6.69
796500;6.69
797400;6.69
798300;6.69
799200;6.69
800100;6.69
801000;6.69
801900;6.69
802800;6.69
803700;6.69
804600;6.69
805500;6.69
806400;2.94
807300;2.94
808200;2.94
809100;2.94
810000;2.94
810900;2.94
811800;2.94
812700;2.94
813600;2.94
814500;2.94
815400;2.94
816300;2.94
817200;2.94
818100;2.94
819000;2.94
819900;2.94
820800;3.12
821700;3.12
822600;3.12
823500;3.12
824400;3.12
825300;3.12
826200;3.12
827100;3.12
828000;3.12
828900;3.12
829800;3.12
830700;3.12
831600;3.12
832500;3.12
833400;3.12
834300;3.12
835200;1.57
836100;1.57
837000;1.57
837900;1.57
838800;1.57
839700;1.57
840600;1.57
841500;1.57
842400;1.57
843300;1.57
844200;1.57
845100;1.57
846000;1.57
846900;1.57
847800;1.57
848700;1.57
849600;2.29
850500;2.29
851400;2.29
852300;2.29
853200;2.29
854100;2.29
855000;2.29
855900;2.29
856800;2.29
857700;2.29
858600;2.29
859500;2.29
860400;2.29
861300;2.29
862200;2.29
863100;2.29
864000;5.98
864900;5.98
865800;5.98
866700;5.98
867600;5.98
868500;5.98
869400;5.98
870300;5.98
871200;5.98
872100;5.98
873000;5.98
873900;5.98
874800;5.98
875700;5.98
876600;5.98
877500;5.98
878400;5.47
879300;5.47
880200;5.47
881100;5.47
882000;5.47
882900;5.47
883800;5.47
884700;5.47
885600;5.47
886500;5.47
887400;5.47
888300;5.47
889200;5.47
890100;5.47
891000;5.47
891900;5.47
892800;2.83
893700;2.83
894600;2.83
895500;2.83
896400;2.83
897300;2.83
898200;2.83
899100;2.83
900000;2.83
900900;2.83
901800;2.83
902700;2.83
903600;2.83
904500;2.83
905400;2.83
906300;2.83
907200;3.64
908100;3.64
909000;3.64
909900;3.64
910800;3.64
911700;3.64
912600;3.64
913500;3.64
914400;3.64
915300;3.64
916200;3.64
917100;3.64
918000;3.64
918900;3.64
919800;3.64
920700;3.64
921600;1.42
922500;1.42
923400;1.42
924300;1.42
925200;1.42
926100;1.42
927000;1.42
927900;1.42
928800;1.42
929700;1.42
930600;1.42
931500;1.42
932400;1.42
933300;1.42
934200;1.42
935100;1.42
936000;1.93
936900;1.93
937800;1.93
938700;1.93
939600;1.93
940500;1.93
941400;1.93
942300;1.93
943200;1.93
944100;1.93
945000;1.93
945900;1.93
946800;1.93
947700;1.93
948600;1.93
949500;1.93
950400;5.13
951300;5.13
952200;5.13
953100;5.13
954000;5.13
954900;5.13
955800;5.13
956700;5.13
957600;5.13
958500;5.13
959400;5.13
960300;5.13
961200;5.13
962100;5.13
963000;5.13
963900;5.13
964800;4.17
965700;4.17
966600;4.17
967500;4.17
968400;4.17
969300;4.17
970200;4.17
971100;4.17
972000;4.17
972900;4.17
973800;4.17
974700;4.17
975600;4.17
976500;4.17
977400;4.17
978300;4.17
979200;2.44
980100;2.44
981000;2.44
981900;2.44
982800;2.44
983700;2.44
984600;2.44
985500;2.44
986400;2.44
987300;2.44
988200;2.44
989100;2.44
990000;2.44
990900;2.44
991800;2.44
992700;2.44
993600;3.02
994500;3.02
995400;3.02
996300;3.02
997200;3.02
998100;3.02
999000;3.02
999900;3.02
1000800;3.02
1001700;3.02
1002600;3.02
1003500;3.02
1004400;3.02
1005300;3.02
1006200;3.02
1007100;3.02
1008000;1.22
1008900;1.22
1009800;1.22
1010700;1.22
1011600;1.22
1012500;1.22
1013400;1.22
1014300;1.22
1015200;1.22
1016100;1.22
1017000;1.22
1017900;1.22
1018800;1.22
1019700;1.22
1020600;1.22
1021500;1.22
1022400;1.86
1023300;1.86
1024200;1.86
1025100;1.86
1026000;1.86
1026900;1.86
1027800;1.86
1028700;1.86
1029600;1.86
1030500;1.86
1031400;1.86
1032300;1.86
1033200;1.86
1034100;1.86
1035000;1.86
1035900;1.86
1036800;5.17
1037700;5.17
1038600;5.17
1039500;5.17
1040400;5.17
1041300;5.17
1042200;5.17
1043100;5.17
1044000;5.17
1044900;5.17
1045800;5.17
1046700;5.17
1047600;5.17
1048500;5.17
1049400;5.17
1050300;5.17
1051200;5.26
1052100;5.26
1053000;5.26
1053900;5.26
1054800;5.26
1055700;5.26
1056600;5.26
1057500;5.26
1058400;5.26
1059300;5.26
1060200;5.26
1061100;5.26
1062000;5.26
1062900;5.26
1063800;5.26
1064700;5.26
1065600;3.32
1066500;3.32
1067400;3.32
1068300;3.32
1069200;3.32
1070100;3.32
1071000;3.32
1071900;3.32
1072800;3.32
1073700;3.32
1074600;3.32
1075500;3.32
1076400;3.32
1077300;3.32
1078200;3.32
1079100;3.32
1080000;4.49
1080900;4.49
1081800;4.49
1082700;4.49
1083600;4.49
1084500;4.49
1085400;4.49
1086300;4.49
1087200;4.49
1088100;4.49
1089000;4.49
1089900;4.49
1090800;4.49
1091700;4.49
1092600;4.49
1093500;4.49
1094400;2.17
1095300;2.17
1096200;2.17
1097100;2.17
1098000;2.17
1098900;2.17
1099800;2.17
1100700;2.17
1101600;2.17
1102500;2.17
1103400;2.17
1104300;2.17
1105200;2.17
1106100;2.17
1107000;2.17
1107900;2.17
1108800;4.49
1109700;4.49
1110600;4.49
1111500;4.49
1112400;4.49
1113300;4.49
1114200;4.49
1115100;4.49
1116000;4.49
1116900;4.49
1117800;4.49
1118700;4.49
1119600;4.49
1120500;4.49
1121400;4.49
1122300;4.49
1123200;9.03
1124100;9.03
1125000;9.03
1125900;9.03
1126800;9.03
1127700;9.03
1128600;9.03
1129500;9.03
1130400;9.03
1131300;9.03
1132200;9.03
1133100;9.03
1134000;9.03
1134900;9.03
1135800;9.03
1136700;9.03
1137600;6.2
1138500;6.2
