timestep;TWW Bedarf dezentral Booster;TWW Bedarf Vorerwärmung DLE (bis 40°C);TWW Bedarf dezentral DLE (40-56°C)
218700;19,0092649;36,01180048;19,20629359
219600;14,26380682;30,0374458;16,0199711
220500;13,04147135;28,95987369;15,44526597
221400;12,94522149;28,48034265;15,18951608
222300;11,51568688;27,07673106;14,44092323
223200;12,51184349;27,73890715;14,79408382
224100;12,41226262;28,02684276;14,94764947
225000;12,19840699;27,68510135;14,76538739
225900;12,96903351;28,05779353;14,96415655
226800;14,81270939;29,74041677;15,86155561
227700;12,81387746;27,46511779;14,64806282
228600;16,0626998;30,99932288;16,5329722
229500;20,13628856;34,23390286;18,25808153
230400;14,88346382;29,0294753;15,48238683
231300;30,95563321;48,4363545;25,8327224
232200;34,95689417;48,89337536;26,07646686
233100;22,37715482;37,82197649;20,17172079
234000;45,45060621;65,37024642;34,86413143
234900;50,08627849;62,72480701;33,45323041
235800;32,38934206;56,89784228;30,34551588
236700;54,87366748;73,87146842;39,39811649
237600;68,80243181;85,49663878;45,59820735
238500;42,83921589;75,46248076;40,2466564
239400;74,68860258;93,72553649;49,98695279
240300;86,69631644;109,5849295;58,44529572
241200;68,61313532;101,4485948;54,10591722
242100;83,13407127;100,9997493;53,86653296
243000;76,36734645;96,81513213;51,63473714
243900;77,90016511;106,5611905;56,83263494
244800;61,60281804;74,67257692;39,82537436
245700;66,7522392;87,11787243;46,46286529
246600;57,55898378;75,19563325;40,10433773
247500;53,9175653;64,77183171;34,54497691
248400;45,21650337;62,28740123;33,21994732
249300;51,91328688;61,50738769;32,8039401
250200;28,87245997;37,67674199;20,0942624
251100;21,42597999;34,39731849;18,34523653
252000;17,1077562;24,29346652;12,95651548
252900;11,41990628;18,07452616;9,639747284
253800;17,89864869;33,00952116;17,60507795
254700;13,75109986;21,22880022;11,32202679
255600;12,99948446;20,71157818;11,04617503
256500;10,94589561;20,41661881;10,88886336
257400;11,80218129;18,09359797;9,649918918
258300;11,21772519;17,21816618;9,183021962
259200;11,99328865;21,534597;11,4851184
260100;10,89179005;17,53574319;9,352396367
261000;9,999486275;15,95255638;8,508030068
261900;9,363512408;14,93686093;7,966325827
262800;9,063958556;14,52500547;7,746669581
263700;9,435880695;15,14570427;8,077708942
264600;9,258509949;14,83216108;7,910485909
265500;9,199570565;14,90274571;7,948131045
266400;9,029033472;14,4885152;7,727208107
267300;9,064909305;14,55145927;7,760778277
268200;9,895776582;15,39410174;8,210187593
269100;9,460985908;15,17193458;8,091698442
270000;11,46184902;17,13424364;9,138263277
270900;13,41565937;19,17451482;10,2264079
271800;15,76662381;21,65034714;11,54685181
272700;17,69429802;24,90866177;13,28461961
273600;30,94364334;37,91997875;20,22398866
274500;27,59238361;35,37262779;18,86540149
275400;26,75648062;36,63824815;19,54039901
276300;47,06416465;62,09331174;33,11643293
277200;47,17258802;60,8601329;32,45873755
278100;31,00574671;47,95519882;25,57610604
279000;54,78869895;71,99266482;38,3960879
279900;51,79554457;68,92358393;36,75924476
280800;47,33513707;77,39100646;41,27520344
281700;57,12307486;72,49916965;38,66622381
282600;87,14959151;109,5204144;58,41088771
283500;65,25185288;93,69534052;49,97084828
284400;96,93572513;115,3414921;61,51546247
285300;87,79797063;110,6707412;59,0243953
286200;96,93872904;120,4845386;64,25842057
287100;55,564208;75,75029989;40,40015994
288000;51,49419817;74,12854424;39,53522359
288900;47,69066078;70,96804184;37,84962232
289800;57,77193301;85,0219562;45,34504331
290700;61,6594686;93,49615228;49,86461455
291600;70,20658945;96,05738871;51,23060731
292500;51,77333967;76,80858006;40,96457603
293400;58,4288058;82,16008479;43,81871189
294300;47,59570029;69,70440133;37,17568071
295200;50,4731869;73,96551883;39,44827671
296100;39,99320943;69,79911539;37,22619487
297000;38,29559646;58,5167055;31,2089096
297900;31,97460822;53,88460821;28,73845771
298800;30,84712862;49,86700654;26,59573682
299700;31,42286122;52,79285632;28,15619004
300600;29,68455746;47,23940577;25,19434974
301500;30,77090875;50,73980509;27,06122938
302400;22,17643056;39,40077489;21,01374661
303300;24,13252439;40,79971036;21,75984553
304200;18,67563268;34,58516534;18,44542152
305100;19,0092649;36,01180048;19,20629359
306000;14,26380682;30,0374458;16,0199711
306900;13,04147135;28,95987369;15,44526597
307800;12,94522149;28,48034265;15,18951608
308700;11,51568688;27,07673106;14,44092323
309600;12,51184349;27,73890715;14,79408382
310500;12,41226262;28,02684276;14,94764947
311400;12,19840699;27,68510135;14,76538739
312300;12,96903351;28,05779353;14,96415655
313200;14,81270939;29,74041677;15,86155561
314100;12,81387746;27,46511779;14,64806282
315000;16,0626998;30,99932288;16,5329722
315900;20,13628856;34,23390286;18,25808153
316800;14,88346382;29,0294753;15,48238683
317700;30,95563321;48,4363545;25,8327224
318600;34,95689417;48,89337536;26,07646686
319500;22,37715482;37,82197649;20,17172079
320400;45,45060621;65,37024642;34,86413143
321300;50,08627849;62,72480701;33,45323041
322200;32,38934206;56,89784228;30,34551588
323100;54,87366748;73,87146842;39,39811649
324000;68,80243181;85,49663878;45,59820735
324900;42,83921589;75,46248076;40,2466564
325800;74,68860258;93,72553649;49,98695279
326700;86,69631644;109,5849295;58,44529572
327600;68,61313532;101,4485948;54,10591722
328500;83,13407127;100,9997493;53,86653296
329400;76,36734645;96,81513213;51,63473714
330300;77,90016511;106,5611905;56,83263494
331200;61,60281804;74,67257692;39,82537436
332100;66,7522392;87,11787243;46,46286529
333000;57,55898378;75,19563325;40,10433773
333900;53,9175653;64,77183171;34,54497691
334800;45,2326327;62,30425341;33,22893515
335700;51,91328688;61,50738769;32,8039401
336600;28,91533317;37,72153657;20,11815284
337500;21,57042286;34,54823463;18,42572513
338400;17,19802379;24,38777949;13,00681573
339300;11,80607953;18,47800591;9,854936486
340200;18,43160895;33,56636624;17,90206199
341100;14,19896172;21,69673319;11,57159104
342000;13,86024833;21,61091752;11,52582268
