timestep;amb_temp;wind_speed;beam_irr;diffuse_irr;long_wave_irr
1238400;-5.1;1.9;0;10;252
1242000;-5.1;1.7;5;49;253
1245600;-4.9;2.2;0;71;250
1249200;-4.5;1.8;0;77;250
1252800;-4.3;1;0;76;249
1256400;-3.9;1.7;0;83;248
1260000;-3.7;1.8;0;71;252
1263600;-3.8;1.8;5;45;260
1267200;-3.8;1;5;9;260
1270800;-3.8;0.9;0;0;260
1274400;-3.8;1.3;0;0;255
1278000;-3.8;1;0;0;251
1281600;-3.8;1.1;0;0;253
1285200;-3.7;0.8;0;0;260
1288800;-3.5;0.8;0;0;266
1292400;-3.4;0.7;0;0;268
1296000;-3.4;1.2;0;0;267
1299600;-3.3;1.4;0;0;267
1303200;-3.2;1.3;0;0;269
1306800;-3.2;1;0;0;270
1310400;-3.2;1.1;0;0;272
1314000;-3.1;1.1;0;0;273
1317600;-3.1;1;0;0;272
1321200;-3.4;0.7;0;0;273
1324800;-2.9;0.9;0;7;275
1328400;-2.6;0.9;0;45;276
1332000;-2.2;0.9;5;76;274
1335600;-1.7;1;5;100;271
1339200;-1.7;0.8;10;110;273
1342800;-0.9;1.1;60;87;270
1346400;-0.8;1.1;136;27;257
1350000;-0.6;1.9;89;18;257
1353600;-1.3;0.4;19;5;262
1357200;-2.2;0.4;0;0;242
1360800;-2.8;0.4;0;0;240
1364400;-2.7;1.1;0;0;266
1368000;-2.8;1.1;0;0;275
1371600;-3;0.1;0;0;257
1375200;-3.2;1;0;0;238
1378800;-3.7;1.1;0;0;232
1382400;-4.3;0.8;0;0;231
1386000;-3.7;0.9;0;0;226
1389600;-3.6;0.9;0;0;251
1393200;-2.8;0.8;0;0;279
1396800;-2.8;1;0;0;280
1400400;-3;0.8;0;0;280
1404000;-3.2;0.8;0;0;270
1407600;-3.2;0.5;0;0;266
1411200;-3.1;0.8;0;14;276
1414800;-2.8;0.7;5;67;281
1418400;-2.7;0.2;8;106;282
1422000;-2.4;0.9;9;135;279
1425600;-1.9;0.8;18;155;275
1429200;-1.1;1.5;117;140;262
1432800;-0.2;0.5;186;76;235
1436400;0.1;0.7;96;56;237
1440000;-0.7;0.9;24;19;252
1443600;-1.6;1;0;0;254
1447200;-2;1.8;0;0;248
1450800;-2.5;1.5;0;0;237
1454400;-2.5;1.8;0;0;246
1458000;-2.4;1.6;0;0;260
1461600;-2.5;0.9;0;0;270
1465200;-2.4;1.2;0;0;279
1468800;-2.1;0.9;0;0;279
1472400;-1.9;0.9;0;0;274
1476000;-2;1.1;0;0;274
1479600;-1.6;1;0;0;254
1483200;-1.6;1.1;0;0;254
1486800;-1.4;0.9;0;0;265
1490400;-1.1;1.1;0;0;270
1494000;-0.6;1.1;0;0;287
1497600;-0.3;2.1;0;15;287
1501200;0.2;0.9;2;66;281
1504800;0.7;0.7;4;117;271
1508400;1.4;1.7;12;171;267
1512000;2;1.1;2;141;273
1515600;1.6;1.8;0;97;282
1519200;1.9;1.1;0;91;286
1522800;1.7;1.1;18;89;282
1526400;0.9;1;6;27;268
1530000;0.3;0.2;0;0;257
1533600;-0.2;0.9;0;0;265
1537200;0.1;0.8;0;0;279
1540800;0.1;1;0;0;286
1544400;0.2;1;0;0;281
1548000;0.2;1;0;0;278
1551600;0.2;1;0;0;278
1555200;0;1.1;0;0;223
1558800;-0.3;1.3;0;0;222
1562400;-0.6;1.2;0;0;210
1566000;-0.9;1.2;0;0;202
1569600;-0.8;0.9;0;0;199
1573200;-1.1;0.8;0;0;228
1576800;-0.5;1.2;0;0;266
1580400;-0.7;0.5;0;0;273
1584000;-0.7;0.9;8;10;274
1587600;-0.3;1.1;68;21;277
1591200;-0.6;0.9;80;56;280
1594800;-0.5;1;28;107;281
1598400;0;1.1;32;111;283
1602000;0.4;0.9;56;94;279
1605600;0.6;0.9;40;75;281
1609200;0.5;1;36;36;288
1612800;0.1;1;8;10;288
1616400;-0.2;0.9;0;0;283
1620000;-0.5;0.2;0;0;284
1623600;-0.4;0.3;0;0;289
1627200;-0.7;1;0;0;290
1630800;-0.8;1;0;0;296
1634400;-1.2;1.1;0;0;302
1638000;-1.3;1.1;0;0;302
1641600;-1.6;0.3;0;0;296
1645200;-1.7;1.1;0;0;289
1648800;-1.8;1.2;0;0;289
1652400;-2;1.1;0;0;282
1656000;-1.9;1;0;0;282
1659600;-1.8;1;0;0;286
1663200;-1.6;1;0;0;287
1666800;-1.9;1;0;0;286
1670400;-1.8;1;10;7;285
1674000;-2;1;73;15;283
1677600;-2;1.1;95;40;277
1681200;-1.9;1.1;25;105;276
1684800;-1.1;1.1;30;110;276
1688400;-0.5;1.1;40;98;272
1692000;-0.1;1.1;30;77;278
1695600;-0.4;0.4;30;39;277
1699200;-0.4;1.2;10;8;272
1702800;-0.4;0.6;0;0;274
1706400;-0.7;1.2;0;0;285
1710000;-0.8;0.5;0;0;290
1713600;-0.8;0.9;0;0;286
1717200;-0.7;0.9;0;0;287
1720800;-0.6;0.4;0;0;287
1724400;-0.7;0.4;0;0;287
1728000;-1.3;0.5;0;0;289
1731600;-1.5;0.5;0;0;292
1735200;-1.5;1.1;0;0;292
1738800;-2.1;1.1;0;0;290
1742400;-2.4;1;0;0;286
1746000;-2.3;1;0;0;280
1749600;-2.3;0.9;0;0;273
1753200;-2.2;0.3;0;0;271
1756800;-2.4;0.3;0;18;269
1760400;-2.4;1;8;83;263
1764000;-2.2;1;6;122;257
1767600;-1.3;0.3;3;135;257
1771200;-0.8;1;3;142;258
1774800;-0.4;1.1;5;144;258
1778400;-0.5;0.3;11;131;258
1782000;-0.5;1;8;80;258
1785600;-0.7;1;2;22;261
1789200;-0.9;1;0;0;263
1792800;-1.4;0.4;0;0;260
1796400;-1.6;1.1;0;0;259
1800000;-1.8;0.9;0;0;259
