timestep;val_ambient_temperature;val_beam_irr_normal;val_beam_irr_hor;val_diffuse_irr_hor;val_global_irr_hor;val_long_wave_irr;val_wind_speed;val_beam_irr_in_plane
2293200;2.3;0;0;64;64;283;6.3;1.0
2296800;2.9;0;0;66;66;288;5.4;1.0
2300400;3.3;0;0;55;55;289;5.4;0.9
2304000;3.3;0;0;20;20;278;4.1;0.3
2307600;3;0;0;0;0;266;3.8;0.0
2311200;3;0;0;0;0;265;2.8;0.0
2314800;2.9;0;0;0;0;267;2.1;0.0
2318400;2.2;0;0;0;0;269;2.9;0.0
2322000;2;0;0;0;0;277;2.8;0.0
2325600;2.2;0;0;0;0;287;3.5;0.0
2329200;2.4;0;0;0;0;290;3.6;0.0
2332800;2.4;0;0;0;0;292;3.9;0.0
2336400;2.4;0;0;0;0;294;3.6;0.0
2340000;2.2;0;0;0;0;296;3.9;0.0
2343600;1.9;0;0;0;0;302;3.8;0.0
2347200;1.7;0;0;0;0;307;4.6;0.0
2350800;0.9;0;0;0;0;304;3.2;0.0
2354400;1.2;0;0;0;0;296;3.9;0.0
2358000;0.6;0;0;0;0;294;5.1;0.0
2361600;1;0;0;9;9;299;5.5;0.1
2365200;1.2;0;0;38;38;294;4.3;0.5
2368800;1.3;0;0;59;59;277;5.1;0.8
2372400;1.4;0;0;73;73;264;5.2;1.0
2376000;1.7;0;0;79;79;277;4.9;1.1
2379600;2;0;0;93;93;291;6.3;0.7
2383200;2;0;0;56;56;291;5.6;0.8
2386800;2.4;0;0;28;28;299;5.5;0.4
2390400;2.4;0;0;16;16;293;6.1;0.2
2394000;3.4;0;0;0;0;289;4.4;0.0
2397600;3.9;0;0;0;0;293;3.7;0.0
2401200;3.5;0;0;0;0;293;3.8;0.0
2404800;3.4;0;0;0;0;302;3.5;0.0
2408400;3.1;0;0;0;0;305;3.3;0.0
2412000;2.4;0;0;0;0;304;3.3;0.0
2415600;1.6;0;0;0;0;293;3.4;0.0
2419200;0.6;0;0;0;0;278;3.6;0.0
