timestep;Wetterdaten.Mittlere Aussentemperatur (Tamb) [°C];Wetterdaten.Normale Direktstrahlung  (Bn) [W/m²];Wetterdaten.Diffusstrahlung, Jahressumme (Dh) [W/m²];Wetterdaten.Globalstrahlung, Jahressumme (Gh) [W/m²];Wetterdaten.Wärmestrahlung (Lh) [W/m²];Wetterdaten.Windgeschwindigkeit (Vwnd) [m/s];Kollektor.Mitteltemperatur [°C];Kollektor.Durchsatz [l/h];Kollektor.Wärmeverlust (Qhl) [W];Kollektor.Einstrahlung in Kollektorebene (Esol) [W];Kollektor.Kollektorfeldertrag (Qsol) [W];Kollektor.Betriebstemperatur [°C];Kollektor.Austrittstemperatur [°C];Rohr 6.Temperatur [°C];Rohr 6.Wärmekapazität des Fluids [J/(l*K)];Rohr 16.Temperatur [°C];Rohr 16.Wärmekapazität des Fluids [J/(l*K)];Kollektor.Diffusstrahlung nach IAM [W];Kollektor.Globalstrahlung nach IAM  [W];Kollektor.Direktstrahlung nach IAM [W];Kollektor.Einstrahlung auf Kollektor [W/m²]
15930000;24,8;563,012;241,0;651,0;366,0;0,9;23,846266666666665;66,59999999999998;697,4957916666667;2727,945;2030,4486166666666;23,846266666666665;35,08934166666666;10,0;4200,855;35,08915833333334;4206,4765916666665;967,071;2592,1289999999995;1625,0569999999998;583,813
15933600;26,5;646,655;239,0;773,0;377,0;1,1;28,02029166666667;66,59999999999998;881,3195583333334;3456,6960000000004;2575,3764416666672;28,02029166666667;42,27699166666666;10,0;4200,855;42,276666666666664;4208,120383333333;1042,768;3357,163;2314,3950000000004;756,118
15937200;28,0;596,93;282,0;811,0;390,0;1,1;30,175241666666665;66,59999999999998;943,0308083333334;3729,4019999999996;2786,371266666667;30,175241666666665;45,5739;10,0;4200,855;45,57351666666667;4208,8913;1260,508;3655,86;2395,352;823,392
15940800;28,8;679,262;246,0;861,0;398,0;0,5;31,847058333333333;66,59999999999998;1004,8795249999998;4018,008;3013,1288166666673;31,847058333333333;48,510149999999996;10,0;4200,855;48,510075;4209,558116666666;1141,448;3964,76;2823,312;892,964
15944400;30,1;783,384;181,0;872,0;405,0;1,9;32,27469166666667;66,59999999999998;1013,9976833333333;4031,1519999999996;3017,154;32,27469166666667;48,939241666666675;10,0;4200,855;48,93891666666667;4209,602;841,482;3961,208;3119,7260000000006;892,1639999999999
15948000;30,6;833,939;138,0;820,0;400,0;1,0;30,814383333333332;66,59999999999998;919,4637166666666;3675,032;2755,568166666667;30,814383333333332;45,99619166666667;10,0;4200,855;45,995875000000005;4208,963691666667;638,8339999999998;3576,845;2938,0110000000004;805,596
15951600;31,4;809,007;130,0;710,0;391,0;2,2;27,47764166666667;66,59999999999998;731,9962583333335;2971,9609999999993;2239,964358333333;27,47764166666667;39,76785833333333;10,0;4200,855;39,76765833333334;4207,544933333334;559,263;2830,185;2270,921;637,429
15955200;31,0;735,248;126,0;557,0;386,0;1,1;22,32525833333333;66,59999999999998;564,004825;2048,1519999999996;1484,1473166666667;22,32525833333333;30,41139166666667;10,0;4200,8398;30,411175000000004;4205,411666666667;463,548;1751,563;1288,015;394,496
15958800;30,0;580,333;122,0;374,0;386,0;1,9;16,665941666666665;66,59999999999998;348,56316666666663;1058,392;709,8291166666668;16,665941666666665;20,483850000000004;10,0;4200,638400000001;20,483800000000002;4203,1146499999995;346,901;654,797;307,8949999999999;147,47700000000003
15962400;28,0;277,308;102,0;177,0;396,0;0,4;13,836283333333334;66,59999999999998;-94,92508333333335;355,054;449,9790833333334;13,836283333333334;16,277783333333335;10,0;4200,638400000001;16,277833333333334;4202,166266666666;290,985;290,985;0,0;65,537
15966000;26,5;373,051;44,0;81,0;398,0;1,3;12,598949999999999;66,59999999999998;-173,66150000000002;142,074;315,73556666666667;12,598949999999999;14,316216666666667;10,0;4200,638400000001;14,316183333333333;4201,73565;128,517;128,517;0,0;28,945
15969600;24,1;0,0;5,0;5,0;390,0;1,1;11,767666666666669;66,59999999999998;-196,01719166666666;19,499;215,516375;11,767666666666669;12,940566666666667;10,0;4200,638400000001;12,940633333333333;4201,388333333333;17,801;17,801;0,0;4,009
