timestep;MW Solar
1088100;75,35
1089000;75,35
1089900;75,35
1090800;75,35
1091700;75,35
1092600;75,35
1093500;75,35
1094400;75,35
1095300;75,35
1096200;75,35
1097100;75,35
1098000;75,35
1098900;75,35
1099800;75,35
1100700;75,35
1101600;75,35
1102500;75,35
1103400;75,35
1104300;75,35
1105200;75,35
1106100;75,35
1107000;75,35
1107900;75,35
1108800;75,35
1109700;75,35
1110600;75,35
1111500;75,35
1112400;75,35
1113300;75,35
1114200;75,35
1115100;75,35
1116000;75,35
1116900;75,35
1117800;75,35
1118700;75,35
1119600;75,35
1120500;75,35
1121400;75,35
1122300;75,35
1123200;75,35
1124100;75,35
1125000;75,35
1125900;75,35
1126800;75,35
1127700;75,35
1128600;75,35
1129500;75,35
1130400;75,35
1131300;75,35
1132200;75,35
1133100;75,35
1134000;75,35
1134900;75,35
1135800;75,35
1136700;75,35
1137600;75,35
1138500;75,35
1139400;75,35
1140300;75,35
1141200;75,35
1142100;75,35
1143000;75,35
1143900;75,35
1144800;75,35
1145700;75,35
1146600;75,35
1147500;75,35
1148400;75,35
1149300;75,35
1150200;75,35
1151100;75,35
1152000;75,35
1152900;75,35
1153800;75,35
1154700;75,35
1155600;75,35
1156500;75,35
1157400;75,35
1158300;75,35
1159200;75,35
1160100;75,35
1161000;75,35
1161900;75,35
1162800;75,35
1163700;75,35
1164600;75,35
1165500;75,35
1166400;75,35
1167300;75,35
1168200;75,35
1169100;75,35
1170000;75,35
1170900;75,35
1171800;75,35
1172700;75,35
1173600;75,35
1174500;75,35
1175400;75,35
1176300;75,35
1177200;75,35
1178100;75,35
1179000;75,35
1179900;75,35
1180800;75,35
1181700;75,35
1182600;75,35
1183500;75,35
1184400;75,35
1185300;75,35
1186200;75,35
1187100;75,35
1188000;75,35
1188900;75,35
1189800;75,35
1190700;75,35
1191600;75,35
1192500;75,35
1193400;75,35
1194300;75,35
1195200;75,35
1196100;75,35
1197000;75,35
1197900;75,35
1198800;75,35
1199700;75,35
1200600;75,35
1201500;75,35
1202400;75,35
1203300;75,35
1204200;75,35
1205100;75,35
1206000;75,35
1206900;75,35
1207800;75,35
